NDB_No,Seq,Amount,Msre_Desc,Gm_Wgt,Num_Data_Pts,Std_Dev
"01082","1",1.0000000000000000e+00,"cup",2.4400000000000000e+02,,
"01082","2",1.0000000000000000e+00,"fl oz",3.0500000000000000e+01,,
"01082","3",1.0000000000000000e+00,"quart",9.7600000000000000e+02,,
"01083","1",1.0000000000000000e+00,"cup",2.4500000000000000e+02,,
"01083","2",1.0000000000000000e+00,"quart",9.8000000000000000e+02,,
"01084","1",1.0000000000000000e+00,"cup",2.4600000000000000e+02,,
"01084","2",1.0000000000000000e+00,"quart",9.8400000000000000e+02,,
"01085","1",1.0000000000000000e+00,"cup",2.4500000000000000e+02,,
"01085","2",1.0000000000000000e+00,"fl oz",3.0600000000000001e+01,,
"01085","3",1.0000000000000000e+00,"quart",9.8000000000000000e+02,,
"01086","1",1.0000000000000000e+00,"cup",2.4500000000000000e+02,,
"01086","2",1.0000000000000000e+00,"fl oz",3.0600000000000001e+01,,
"01086","3",1.0000000000000000e+00,"quart",9.8000000000000000e+02,,
"01087","1",1.0000000000000000e+00,"cup",2.4600000000000000e+02,,
"01087","2",1.0000000000000000e+00,"quart",9.8400000000000000e+02,,
"01088","1",1.0000000000000000e+00,"cup",2.4500000000000000e+02,,
"01088","2",1.0000000000000000e+00,"fl oz",3.0600000000000001e+01,,
"01088","3",1.0000000000000000e+00,"quart",9.8000000000000000e+02,,
"01089","1",1.0000000000000000e+00,"cup",2.4400000000000000e+02,,
"01089","2",1.0000000000000000e+00,"fl oz",3.0500000000000000e+01,,
"01089","3",1.0000000000000000e+00,"quart",9.7600000000000000e+02,,
"01090","1",2.5000000000000000e-01,"cup",3.2000000000000000e+01,,
"01090","2",1.0000000000000000e+00,"cup",1.2800000000000000e+02,,
"01091","1",2.5000000000000000e-01,"cup",3.0000000000000000e+01,,
"01091","2",1.0000000000000000e+00,"cup",1.2000000000000000e+02,,
"01091","3",5.0000000000000000e+00,"tbsp",2.3000000000000000e+01,1,
"01092","1",1.0000000000000000e+00,"cup",6.8000000000000000e+01,,
"01092","2",1.0000000000000000e+00,"envelope (1-1/3 cup)",9.1000000000000000e+01,,
"01092","3",3.3300000000000002e-01,"cup (makes 1 cup reconstituted milk)",2.3000000000000000e+01,,
"01093","1",1.0000000000000000e+00,"oz",2.8350000000000001e+01,,
"01093","2",2.5000000000000000e-01,"lb",1.1300000000000000e+02,,
"01094","1",2.5000000000000000e-01,"cup",3.0000000000000000e+01,,
"01094","2",1.0000000000000000e+00,"cup",1.2000000000000000e+02,,
"01094","3",1.0000000000000000e+00,"tbsp",6.5000000000000000e+00,,
"01095","1",1.0000000000000000e+00,"fl oz",3.8200000000000003e+01,,
"01095","2",1.0000000000000000e+00,"cup",3.0600000000000000e+02,,
"01096","1",1.0000000000000000e+00,"fl oz",3.1500000000000000e+01,,
"01096","2",1.0000000000000000e+00,"cup",2.5200000000000000e+02,,
"01096","3",1.0000000000000000e+00,"can (13 oz)",3.6900000000000000e+02,,
"01096","4",5.0000000000000000e-01,"cup",1.2600000000000000e+02,,
"01097","1",1.0000000000000000e+00,"fl oz",3.1899999999999999e+01,,
